Tar (ND_Strategy 1.0)	Test	All: Net Profit	All: Gross Profit	All: Gross Loss	All: Total Trades	All: % Profitable	All: Winning Trades	All: Losing Trades	All: Max Winning Trade	All: Max Losing Trade	All: Avg Winning Trade	All: Avg Losing Trade	All: Win/Loss Ratio	All: Avg Trade	All: Max Consecutive Winners	All: Max Consecutive Losers	All: Avg Bars in Winner	All: Avg Bars in Loser	All: Max Intraday Drawdown	All: ProfitFactor	All: Max Contracts Held	All: Required Account Size	All: Return on Account
3600.00	34	131966.5382657	415041.0360424	-283074.4977768	737	27.0013569	199	537	4047.2177044	-1081.5761119	2085.6333469	-527.1405918	3.9565030	179.0590750	4	18	747	155	-13139.2311007	1.4661901	1	13139.2311007	1004.3703262
3700.00	35	133264.0014338	413810.6087648	-280546.6073310	732	27.0491803	198	533	4133.7590022	-1081.5761119	2089.9525695	-526.3538599	3.9706227	182.0546468	5	18	756	155	-12962.2784331	1.4750156	1	12962.2784331	1028.0908725
3800.00	36	133102.7994954	408576.8218953	-275474.0223999	719	27.1210014	195	523	4244.2636853	-1081.5761119	2095.2657533	-526.7189721	3.9779576	185.1221133	5	18	778	158	-13335.3822753	1.4831773	1	13335.3822753	998.1176148
3900.00	37	122410.5586093	405707.0298452	-283296.4712359	731	26.2653899	192	538	4355.1275395	-1081.5761119	2113.0574471	-526.5733666	4.0128453	167.4563045	5	24	782	156	-15962.9914884	1.4320935	1	15962.9914884	766.8397161
4000.00	38	126445.1529762	406290.9438863	-279845.7909101	723	26.4177040	191	531	4485.6917943	-1081.5761119	2127.1777167	-527.0165554	4.0362636	174.8895615	5	24	795	157	-15875.3605906	1.4518387	1	15875.3605906	796.4868089
4100.00	39	129438.6120442	406778.6887862	-277340.0767420	717	26.2203626	188	528	4581.4523371	-1081.5761119	2163.7164297	-525.2652969	4.1192830	180.5280503	5	24	809	157	-15787.7296928	1.4667144	1	15787.7296928	819.8684330
4200.00	40	124885.1917739	403162.7176951	-278277.5259212	715	25.8741259	185	529	4693.4682867	-1081.5761119	2179.2579335	-526.0444724	4.1427257	174.6646039	5	24	826	158	-16203.8813505	1.4487793	1	16203.8813505	770.7115911
4300.00	41	123800.8869929	404404.9692490	-280604.0822561	717	25.3835425	182	534	4804.4618201	-1081.5761119	2222.0053255	-525.4758095	4.2285587	172.6651144	4	24	838	158	-16116.2504528	1.4411942	1	16116.2504528	768.1742559
4400.00	42	123968.5975535	401206.7329852	-277238.1354317	707	25.3182461	179	527	4923.2907370	-1081.5761119	2241.3783966	-526.0685682	4.2606203	175.3445510	4	24	858	160	-16029.6282891	1.4471556	1	16029.6282891	773.3716298
4500.00	43	129491.6875053	404523.9619616	-275032.2744563	700	25.5714286	179	520	5037.6423132	-1081.5761119	2259.9104020	-528.9082201	4.2727837	184.9881250	4	24	869	157	-16445.9074076	1.4708236	1	16445.9074076	787.3794026
4600.00	44	134808.9332412	409583.3505532	-274774.4173120	697	25.3945481	177	519	5164.7894019	-1081.5761119	2314.0302291	-529.4304765	4.3707915	193.4131036	4	24	880	158	-15346.2676007	1.4906168	1	15346.2676007	878.4476900
4700.00	45	130407.8902675	405908.7410348	-275500.8507673	697	25.1076040	175	521	5277.3120468	-1081.5761119	2319.4785202	-528.7924199	4.3863687	187.0988383	4	24	896	157	-15795.2604771	1.4733484	1	15795.2604771	825.6140534
4800.00	46	133706.7267750	408848.6578519	-275141.9310769	696	25.1436782	175	520	5389.8346918	-1081.5761119	2336.2780449	-529.1190982	4.4154105	192.1073661	4	24	909	156	-15674.5356742	1.4859555	1	15674.5356742	853.0187404
4900.00	47	133532.6711602	406330.9053665	-272798.2342063	692	25.2890173	175	516	5502.3573367	-1081.5761119	2321.8908878	-528.6787485	4.3918748	192.9662878	4	24	924	155	-15080.9663676	1.4894924	1	15080.9663676	885.4384255
5000.00	48	132175.4650595	397562.0713512	-265386.6062917	675	25.3333333	171	503	5614.8799816	-1081.5761119	2324.9243939	-527.6075672	4.4065410	195.8155038	4	24	955	160	-15529.9592439	1.4980487	1	15529.9592439	851.0998837
